Year,Number
1977,2.0
1978,4997.0
1979,13836.0
1980,36068.0
1981,75286.0
1982,45994.0
1983,18843.0
1984,15492.0
1985,43803.0
1986,29511.0
1987,13842.0
1988,3902.0
1989,570.0
1990,14100.0
1991,39971.0
1992,53405.0
1993,16307.0
1994,8820.0
1995,11616.0
1996,23670.0
1997,7983.0
1998,20361.0
1999,38605.0
2000,60843.0
2001,2541.0
2002,2627.0
2003,1845.0
2004,1499.0
2005,94.0
2006,172.0
2007,334.0
2008,124.0
2009,6412.0
2010,3993.0
2011,560.0
2012,1875.0
2013,1397.0
2014,3729.0
2015,6245.0
2016,3699.0
2017,19350.0
2018,3896.0
2019,1017.0
2020,1254.0
2021,564.0
2022,3842.0
2023,42.0
